freq                    ,Gain                    ,Phase                   
5370.317964,4.018093165,-129.405402
5495.408739,3.661261258,-128.9993482
5623.413252,3.308978753,-128.5825187
5754.399373,2.961135982,-128.1557699
5888.436554,2.617627695,-127.7199225
6025.595861,2.278352586,-127.2757642
6165.950019,1.943212871,-126.8240518
6309.573445,1.612113891,-126.3655134
6456.54229,1.284963772,-125.9008497
6606.93448,0.961673106,-125.4307354
6760.829754,0.64215467,-124.9558206
6918.309709,0.326323184,-124.4767315
7079.457844,0.014095087,-123.9940713
7244.359601,-0.294611654,-123.5084207
7413.102413,-0.599877706,-123.020339
7585.77575,-0.901782513,-122.5303637
7762.471166,-1.200404417,-122.0390117
7943.282347,-1.495820754,-121.5467792
8128.305162,-1.788107938,-121.0541422
8317.637711,-2.07734152,-120.5615564
8511.380382,-2.363596242,-120.0694581
8709.6359,-2.646946066,-119.5782637
8912.509381,-2.927464202,-119.0883706
9120.108394,-3.205223112,-118.6001569
9332.543008,-3.480294521,-118.113982
9549.92586,-3.752749404,-117.6301865
9772.37221,-4.022657976,-117.1490929
10000,-4.290089673,-116.6710055
10232.92992,-4.555113128,-116.1962111
10471.28548,-4.817796144,-115.7249788
10715.19305,-5.078205666,-115.2575608
10964.78196,-5.336407744,-114.7941925
11220.18454,-5.592467508,-114.3350932
11481.53621,-5.846449128,-113.8804661
11748.97555,-6.098415782,-113.4304989
12022.64435,-6.348429625,-112.9853644
12302.68771,-6.596551758,-112.5452207
12589.25412,-6.842842196,-112.1102118
12882.49552,-7.087359839,-111.6804681
13182.56739,-7.330162451,-111.2561069
13489.62883,-7.571306631,-110.8372326
13803.84265,-7.810847797,-110.4239376
14125.37545,-8.048840163,-110.0163027
14454.39771,-8.285336728,-109.6143975
14791.08388,-8.520389259,-109.2182808
15135.61248,-8.754048285,-108.8280013
15488.16619,-8.98636309,-108.4435982
15848.93192,-9.217381704,-108.0651013
16218.10097,-9.447150908,-107.6925318
16595.86907,-9.675716229,-107.3259028
16982.43652,-9.903121951,-106.9652193
17378.00829,-10.12941111,-106.6104793
17782.7941,-10.35462552,-106.2616739
18197.00859,-10.57880575,-105.9187877
18620.87137,-10.80199119,-105.5817991
19054.60718,-11.02422001,-105.2506813
19498.446,-11.2455292,-104.9254019
19952.62315,-11.4659546,-104.6059238
20417.37945,-11.6855309,-104.2922054
20892.96131,-11.90429166,-103.9842009
21379.6209,-12.12226935,-103.6818608
21877.61624,-12.33949533,-103.385132
22387.21139,-12.55599994,-103.0939582
22908.67653,-12.77181246,-102.8082803
23442.28815,-12.98696117,-102.5280364
23988.32919,-13.20147336,-102.2531625
24547.08916,-13.41537536,-101.9835921
25118.86432,-13.62869257,-101.7192571
25703.95783,-13.84144947,-101.4600877
26302.67992,-14.05366966,-101.2060125
26915.34804,-14.2653759,-100.9569589
27542.28703,-14.47659009,-100.7128533
28183.82931,-14.68733334,-100.4736212
28840.31503,-14.89762598,-100.2391872
29512.09227,-15.10748757,-100.0094754
30199.5172,-15.31693696,-99.7844096
30902.95433,-15.52599227,-99.563913
31622.7766,-15.73467096,-99.34790884
32359.36569,-15.94298982,-99.13632019
33113.11215,-16.150965,-98.92907018
33884.41561,-16.35861206,-98.72608208
34673.68505,-16.56594594,-98.52727939
35481.33892,-16.77298104,-98.3325859
36307.80548,-16.9797312,-98.14192581
37153.52291,-17.18620973,-97.9552238
38018.93963,-17.39242946,-97.77240504
38904.5145,-17.59840271,-97.59339534
39810.71706,-17.80414134,-97.41812113
40738.02778,-18.00965678,-97.24650957
41686.93835,-18.21496,-97.07848854
42657.95188,-18.4200616,-96.91398673
43651.58322,-18.62497174,-96.75293368
44668.35922,-18.82549219,-96.61646996
45708.81896,-19.029819,-96.46260297
46773.51413,-19.23397186,-96.31198923
47863.00923,-19.43795904,-96.16456216
48977.88194,-19.64178842,-96.02025614
50118.72336,-19.84546759,-95.87900659
51286.1384,-20.0490038,-95.74074993
52480.74602,-20.25240398,-95.60542368
53703.17964,-20.45567477,-95.47296642
54954.08739,-20.65882251,-95.34331782
56234.13252,-20.86185327,-95.21641867
